datetime_Europe_Brussels,solar_actual_MWh
2024-06-26 20:00:00+02:00,9047.0
2024-06-26 21:00:00+02:00,1194.0
2024-06-26 22:00:00+02:00,2.0
2024-06-26 23:00:00+02:00,0.0
2024-06-27 00:00:00+02:00,0.0
2024-06-27 01:00:00+02:00,0.0
2024-06-27 02:00:00+02:00,0.0
2024-06-27 03:00:00+02:00,0.0
2024-06-27 04:00:00+02:00,24.0
2024-06-27 05:00:00+02:00,2074.0
2024-06-27 06:00:00+02:00,12470.0
2024-06-27 07:00:00+02:00,33715.0
2024-06-27 08:00:00+02:00,65010.0
2024-06-27 09:00:00+02:00,100811.0
2024-06-27 10:00:00+02:00,129912.0
2024-06-27 11:00:00+02:00,148045.0
2024-06-27 12:00:00+02:00,151546.0
2024-06-27 13:00:00+02:00,146442.0
2024-06-27 14:00:00+02:00,136475.0
2024-06-27 15:00:00+02:00,120411.0
2024-06-27 16:00:00+02:00,99579.0
2024-06-27 17:00:00+02:00,75143.0
2024-06-27 18:00:00+02:00,46923.0
2024-06-27 19:00:00+02:00,23812.0
2024-06-27 20:00:00+02:00,8693.0
2024-06-27 21:00:00+02:00,958.0
2024-06-27 22:00:00+02:00,4.0
2024-06-27 23:00:00+02:00,0.0
2024-06-28 00:00:00+02:00,0.0
2024-06-28 01:00:00+02:00,0.0
2024-06-28 02:00:00+02:00,0.0
2024-06-28 03:00:00+02:00,0.0
2024-06-28 04:00:00+02:00,23.0
2024-06-28 05:00:00+02:00,2159.0
2024-06-28 06:00:00+02:00,13888.0
2024-06-28 07:00:00+02:00,37181.0
2024-06-28 08:00:00+02:00,68382.0
2024-06-28 09:00:00+02:00,101735.0
2024-06-28 10:00:00+02:00,132708.0
2024-06-28 11:00:00+02:00,149477.0
2024-06-28 12:00:00+02:00,152470.0
2024-06-28 13:00:00+02:00,152521.0
2024-06-28 14:00:00+02:00,151612.0
2024-06-28 15:00:00+02:00,143170.0
2024-06-28 16:00:00+02:00,123459.0
2024-06-28 17:00:00+02:00,98593.0
2024-06-28 18:00:00+02:00,64941.0
2024-06-28 19:00:00+02:00,32064.0
2024-06-28 20:00:00+02:00,10989.0
2024-06-28 21:00:00+02:00,1028.0
2024-06-28 22:00:00+02:00,2.0
2024-06-28 23:00:00+02:00,0.0
2024-06-29 00:00:00+02:00,0.0
2024-06-29 01:00:00+02:00,0.0
2024-06-29 02:00:00+02:00,0.0
2024-06-29 03:00:00+02:00,0.0
2024-06-29 04:00:00+02:00,23.0
2024-06-29 05:00:00+02:00,2406.0
2024-06-29 06:00:00+02:00,15455.0
2024-06-29 07:00:00+02:00,43007.0
2024-06-29 08:00:00+02:00,80239.0
2024-06-29 09:00:00+02:00,117266.0
2024-06-29 10:00:00+02:00,146383.0
2024-06-29 11:00:00+02:00,166465.0
2024-06-29 12:00:00+02:00,177588.0
2024-06-29 13:00:00+02:00,177978.0
2024-06-29 14:00:00+02:00,166771.0
2024-06-29 15:00:00+02:00,144801.0
2024-06-29 16:00:00+02:00,115477.0
2024-06-29 17:00:00+02:00,82011.0
2024-06-29 18:00:00+02:00,47920.0
2024-06-29 19:00:00+02:00,21540.0
2024-06-29 20:00:00+02:00,7089.0
2024-06-29 21:00:00+02:00,598.0
2024-06-29 22:00:00+02:00,2.0
2024-06-29 23:00:00+02:00,0.0
2024-06-30 00:00:00+02:00,0.0
2024-06-30 01:00:00+02:00,0.0
2024-06-30 02:00:00+02:00,0.0
2024-06-30 03:00:00+02:00,0.0
2024-06-30 04:00:00+02:00,10.0
2024-06-30 05:00:00+02:00,1197.0
2024-06-30 06:00:00+02:00,6505.0
2024-06-30 07:00:00+02:00,16123.0
2024-06-30 08:00:00+02:00,32233.0
2024-06-30 09:00:00+02:00,47934.0
2024-06-30 10:00:00+02:00,60671.0
2024-06-30 11:00:00+02:00,73752.0
2024-06-30 12:00:00+02:00,83510.0
2024-06-30 13:00:00+02:00,86464.0
2024-06-30 14:00:00+02:00,77792.0
2024-06-30 15:00:00+02:00,70493.0
2024-06-30 16:00:00+02:00,55871.0
2024-06-30 17:00:00+02:00,37294.0
2024-06-30 18:00:00+02:00,25671.0
2024-06-30 19:00:00+02:00,13682.0
2024-06-30 20:00:00+02:00,4924.0
2024-06-30 21:00:00+02:00,500.0
2024-06-30 22:00:00+02:00,1.0
2024-06-30 23:00:00+02:00,0.0
2024-07-01 00:00:00+02:00,0.0
2024-07-01 01:00:00+02:00,0.0
2024-07-01 02:00:00+02:00,0.0
2024-07-01 03:00:00+02:00,0.0
2024-07-01 04:00:00+02:00,11.0
2024-07-01 05:00:00+02:00,1411.0
2024-07-01 06:00:00+02:00,8241.0
2024-07-01 07:00:00+02:00,23021.0
2024-07-01 08:00:00+02:00,43601.0
2024-07-01 09:00:00+02:00,64633.0
2024-07-01 10:00:00+02:00,83774.0
2024-07-01 11:00:00+02:00,96662.0
2024-07-01 12:00:00+02:00,102863.0
